Fecha,Hora,Likes,Lang,Tweet_limpio,Procesado,BERTopic_Topic,BERTopic_Prob,Locations,SentimentScore
2025-12-03 18:46,14:19:54,249,E,and gustar_relatarl situación afectar trato_amable personal_control inconveniente_serio recibir_información momento consecuencia_perder conexión_transporte gustar_reforzar atención_situación imprevista saludo cordial miguel_simó galindo desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and gustar relatarl situación afectar trato amable personal control inconveniente serio recibir información momento consecuencia perder conexión transporte gustar reforzar atención situación imprevista saludo cordial miguel_simó galindo desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,81,0.3476134481078071,,-0.9563054442405701
2024-10-25 16:06,07:44:05,491,E,and problema viaje_considero necesario_notificar él calefacción_averiado generar_estrés compromiso importante reorganizar_cita generar_cambio hora gustar_futuro claridad_rapidez comunicación saludo cordial américo correa desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and problema viaje considero necesario notificar él calefacción averiado generar estrés compromiso importante reorganizar cita generar cambio hora gustar futuro claridad rapidez comunicación saludo cordial américo correa desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,0,0.5059580708684889,,-0.984764814376831
2025-08-20 15:14,18:47:07,140,E,and experimentar_inconveniente viaje desear compartir_sugerencia mejorar_información retraso generar_estrés compromiso importante provocar_gasto adicional_deber gustar_futuro claridad_rapidez comunicación saludo cordial adrián jordano hervia_garzón desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and experimentar inconveniente viaje desear compartir sugerencia mejorar información retraso generar estrés compromiso importante provocar gasto adicional deber gustar futuro claridad rapidez comunicación saludo cordial adrián jordano hervia_garzón desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,126,0.3087011758192265,,-0.9985652565956116
2024-11-24 08:41,11:25:05,485,E,and trayecto_ocurrir considerar importante comunicar ventana_sucio generar_estrés compromiso importante causa_llegar previsto_confiar revisen_proceso pasajero acompañado saludo cordial amador pedrazar gutiérrez desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and trayecto ocurrir considerar importante comunicar ventana sucio generar estrés compromiso importante causa llegar previsto confiar revisen proceso pasajero acompañado saludo cordial amador pedrazar gutiérrez desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,-1,0.0360023032245666,,0.9944109320640564
2025-02-25 21:43,22:04:15,19,E,and querer_detallar problema_recientemente tren duda_tarjeta descuento problema_agravar alternativa_evidente momento terminé_buscar solución_difícil gustar_futuro claridad_rapidez comunicación saludo cordial nydia jover toro desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and querer detallar problema recientemente tren duda tarjeta descuento problema agravar alternativa evidente momento terminé buscar solución difícil gustar futuro claridad rapidez comunicación saludo cordial nydia jover toro desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,-1,0.0258197034491617,,0.9836066961288452
2025-01-24 09:30,18:04:38,443,E,and gustar_relatarl situación afectar rampa_silla rueda_disponible complicado_depender puntualidad_llegar tiempo terminé_buscar solución_difícil gustar_reforzar atención_situación imprevista saludo cordial domingo arnal desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and gustar relatarl situación afectar rampa silla rueda disponible complicado depender puntualidad llegar tiempo terminé buscar solución difícil gustar reforzar atención situación imprevista saludo cordial domingo arnal desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,78,1.0,,0.9650859236717224
2025-07-23 21:26,15:19:30,321,E,and gustar_relatarl situación afectar recibir_información servicio_objeto perdido generar_estrés compromiso importante consecuencia_perder conexión_transporte gustar_futuro claridad_rapidez comunicación saludo cordial arcelia marín bárcena desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and gustar relatarl situación afectar recibir información servicio objeto perdido generar estrés compromiso importante consecuencia perder conexión transporte gustar futuro claridad rapidez comunicación saludo cordial arcelia marín bárcena desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,71,1.0,,0.9991216063499451
2024-10-24 17:06,03:02:12,445,E,and contacto_vivir situación complicado cancelación_tren condición_meteorológico inconveniente_serio recibir_información momento reorganizar_cita generar_cambio hora_confiar revisen_proceso pasajero acompañado saludo cordial sara ugarte cañete desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and contacto vivir situación complicado cancelación tren condición meteorológico inconveniente serio recibir información momento reorganizar cita generar cambio hora confiar revisen proceso pasajero acompañado saludo cordial sara ugarte cañete desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,2,1.0,,0.6540075540542603
2023-04-20 18:53,12:32:25,201,E,and contacto_vivir situación complicado asiento_reservado ocupado_persona inconveniente_serio recibir_información momento provocar_gasto adicional_deber gustar_futuro claridad_rapidez comunicación saludo cordial wálter_porfirio cerdá agustín desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and contacto vivir situación complicado asiento reservado ocupado persona inconveniente serio recibir información momento provocar gasto adicional deber gustar futuro claridad rapidez comunicación saludo cordial wálter_porfirio cerdá agustín desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,2,1.0,,0.5572640895843506
2023-11-16 06:49,08:59:07,160,E,and querer_explicar ocurrir_viaje baño_sucio averiar situación_especialmente problemático_afectar organización consecuencia_perder conexión_transporte ayuda_implementarar mejora_prevenir problema saludo cordial reinaldo llabrés cervera desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and querer explicar ocurrir viaje baño sucio averiar situación especialmente problemático afectar organización consecuencia perder conexión transporte ayuda implementarar mejora prevenir problema saludo cordial reinaldo llabrés cervera desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,-1,0.0288310322250745,"llabrés, cervera",0.5511322021484375
